date,mean temperature (degC),site number,site name,Latitude,Longitude,Locality,State
2008-08-08,15.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-09,16.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-10,15.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-11,16.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-12,15.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-13,14.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-14,14.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-15,14.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-16,14.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-17,13.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-18,14.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-19,14.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-20,16.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-21,14.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-22,13.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-23,14.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-24,16.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-25,16.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-26,15.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-27,19.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-28,16.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-29,16.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-30,13.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-08-31,11.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-01,13.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-02,15.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-03,18.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-04,20.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-05,19.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-06,16.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-07,17.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-08,17.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-09,21.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-10,20.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-11,15.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-12,16.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-13,18.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-14,16.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-15,18.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-16,24.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-17,20.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-18,20.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-19,18.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-20,19.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-21,19.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-22,14.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-23,17.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-24,24.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-25,23.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-26,22.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-27,17.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-28,21.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-29,24.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-09-30,20.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-01,19.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-02,20.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-03,18.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-04,18.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-05,17.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-06,18.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-07,20.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-10-08,22.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
